Region,District,N_vvid,VaccinatedDogs,Coverage,CoverageLCI,CoverageUCI,Pop2012,HH_Livestk_Keepers,Gr,TotalHH,Est_dogs,Dist_Area,Vaccines_vials,Cost,Nvaccinators
Pemba,Chakechake,23,608,0.330854187,4.57E-06,0.659824683,97249,8167,2,17551,1624.802344,218.9897004,156.25,2388475,12
Dar Es Salaam,Ilala,26,4218,0.607283056,0.543964517,0.923060919,1220611,26671,7,297750,8178.58093,364.7107337,690,12655000,58
Pwani,Kibaha Rural,50,5226,0.705323194,0.665430125,0.743221445,70209,4771,3,16892,9327.406763,1500.829629,500,10225100,25
Pwani,Kibaha Urban,53,3684,0.708307633,0.662746276,0.75284525,128488,7650,5,31092,6595.617733,705.2647967,480,10256900,47
Morogoro,Kilombero,80,14208,0.564046464,0.525279579,0.6022991,407880,34427,2,93331,27598.99245,7994.791585,"1,800",12300500,59
Lindi,Kilwa,100,2120,0.67757343,0.612796907,0.740399652,190744,20507,1,42596,4961.177362,14545.39353,496,7949200,29
Dar Es Salaam,Kinondoni,34,3696,0.538405375,0.479386943,0.597171256,1775049,35829,5,441240,8618.260284,537.0601471,650,12317500,71
Pwani,Kisarawe,77,2787,0.711170338,0.668947067,0.755236705,101598,12275,1,25475,5010.289199,4514.279204,380,10388700,38
Lindi,Lindi Rural,133,1148,0.488390618,0.440211779,0.537244342,194143,21931,-1,52821,2788.050653,5971.498478,290,8550800,69
Lindi,Lindi Urban,18,930,0.694498913,0.653528077,0.737021396,78841,6500,7,22344,1876.447754,1062.893932,150,6784600,19
Lindi,Liwale,76,637,0.626092151,0.58406265,0.668891145,91380,10582,2,21084,2386.189572,15633.97819,140,7214900,25
Pemba,Micheweni,29,569,0.592760213,0.553879667,0.632660493,103816,10018,2,19257,1728.321649,230.9458216,156.25,2388475,13
Pemba,Mkoani,30,631,0.580961891,0.261225864,0.877258013,97867,10304,1,18067,1364.026294,255.8899174,156.25,2388475,12
Pwani,Mkuranga,116,1811,0.58778626,0.527538594,0.646320228,222921,17610,2,51101,3890.657865,2825.378544,300,9803700,55
Morogoro,Morogoro Rural,140,6434,0.525447731,0.456811549,0.589484824,286248,31160,1,67671,12291.74588,8267.709895,900,11815500,100
Morogoro,Morogoro Urban,19,9968,0.569280344,0.537314702,0.600865316,315866,12060,3,76039,17475.5504,288.2981409,"1,200",11832500,50
Mtwara,Mtwara Rural,156,860,0.64575054,0.597240284,0.693156146,228003,21651,1,58602,2634.739482,3629.498196,130,8165500,58
Mtwara,Mtwara Urban,15,540,0.544132853,0.47886139,0.607426581,108299,5034,2,27968,1160.006021,169.8470784,45,5789000,14
Lindi,Nachingwea,118,2823,0.702422144,0.664311506,0.738742713,178464,21726,1,48145,4476.590682,5971.802217,450,8550800,29
Mtwara,Nanyumbu,89,1281,0.636783305,0.60978073,0.664093605,150857,13474,1,40746,2363.757432,5200.437722,160,6739600,18
Mtwara,Newala,153,1465,0.709055877,0.65325833,0.766065779,205492,28279,1,58035,3630.323239,1951.337174,170,7690200,37
Lindi,Ruangwa,89,1090,0.796737196,0.781685098,0.812105798,131080,17605,1,37326,2095.030654,2513.808844,190,8165500,22
Pwani,Rufiji,115,1423,0.706803692,0.745527593,0.950029857,217274,14973,1,48164,3127.973138,9383.789029,200,10492900,29
Mtwara,Tandahimba,155,762,0.58778626,0.527538594,0.646320228,227514,26595,1,60872,1268.875015,2047.30144,160,7214900,33
Dar Es Salaam,Temeke,30,2521,0.643152101,0.611395942,0.673926246,1368881,22150,6,344391,5818.740662,728.2218589,550,12560500,38
Morogoro,Ulanga,65,9645,0.45950931,0.403913448,0.523919762,265203,22460,3,53290,19255.76054,14476.84566,"1,400",11919000,41
Pemba,Wete,25,718,0.808560379,0.667463499,0.976319107,107916,7964,1,20151,1588.542929,294.8665567,156.25,2388475,12
Mtwara,Masasi,147,7008,0.673615888,0.641327819,0.704835563,247993,30565,1,67872,5026.548571,4003.146891,330,5690800,25
Mtwara,Masasi urban,12,4498,0.521279079,0.444558263,0.593832861,102696,28279,2,28222,4503.877232,752.8152819,330,5690800,21
