Region_Nam,District_N,Ward_Name,Vil_Mtaa_N,Vill_combine
Morogoro,Kilombero,Mkula,Sonjo,Mkula
Morogoro,Morogoro,Kasanga,Kizagila,Kitonga
Mtwara,Newala,Mnyambe,Mnayope,Mnyambe
Lindi,Lindi Rural,Nyangamara,Nyangamara A,Nyangamara B
Mtwara,Newala,Kitangari,Nia moja,Kitangari Sokoni
Mtwara,Mtwara Urban,Mitengo,Mnazi Mmoja,Kilimahewa
Morogoro,Morogoro Urban,Boma,Msigala,Madizini
Morogoro,Morogoro,Bwakila Juu,Mgata,Kumba
Mtwara,Mtwara Urban,Mitengo,Mnaida,Kilimahewa
Mtwara,Tandahimba,Mkundi,Chitoholi Shuleni,Chitoholi Juu
Mtwara,Mtwara Rural,Mnima,Kilimahewa,Mnima
Mtwara,Tandahimba,Naputa,Naputa Shuleni,Naputa sokoni
